6/19/2018 5:19:45 PM		GIVE CHANGE		$0		$0
6/19/2018 5:39:58 PM		FEED MONEY		$0		$5
6/19/2018 5:40:11 PM		FEED MONEY		$0		$15
6/19/2018 5:40:27 PM		GIVE CHANGE		$15		$0
6/19/2018 5:45:31 PM		FEED MONEY		$0		$4
6/19/2018 5:45:37 PM		Potato CrispsA1		$0.95		$-2.1
6/19/2018 5:46:41 PM		GIVE CHANGE		$0.95		$0
6/19/2018 5:52:57 PM		FEED MONEY		$0		$5
6/19/2018 5:53:10 PM		Potato CrispsA1		$1.95		$-1.1
6/19/2018 5:58:38 PM		FEED MONEY		$5		$5
6/19/2018 5:58:46 PM		Potato CrispsA1		$1.95		$-1.1
6/19/2018 5:58:49 PM		Dr. SaltC2		$0.45		$-1.05
6/19/2018 5:59:03 PM		GIVE CHANGE		$0.45		$0
6/19/2018 6:27:33 PM		FEED MONEY		$10		$10
6/19/2018 6:27:45 PM		FEED MONEY		$1		$11
6/19/2018 6:27:52 PM		Potato CrispsA1		$7.95		$4.9
6/19/2018 6:27:54 PM		CowtalesB2		$6.45		$4.95
6/19/2018 6:27:56 PM		HeavyC4		$4.95		$3.45
6/19/2018 6:28:05 PM		Little League ChewD2		$4		$3.05
6/19/2018 6:28:13 PM		Potato CrispsA1		$0.95		$-2.1
6/19/2018 6:28:30 PM		GIVE CHANGE		$0.95		$0
